ticker,name,description,target_entry,target_exit
CGEM,"Cullinan Therapeutics, Inc. - Common Stock",Other,,
CGEN,Compugen Ltd. - Ordinary Shares,Other,,
CGNT,Cognyte Software Ltd. - Ordinary Shares,Other,,
CGTX,"Cognition Therapeutics, Inc. - Common Stock",Other,,
CHRS,"Coherus Oncology, Inc. - Common Stock",Other,,
CHW,Calamos Global Dynamic Income Fund - Closed End Fund,Other,,
CHY,Calamos Convertible and High Income Fund - Closed End Fund,Other,,
CIGL,Concorde International Group Ltd - Class A Ordinary Shares,Other,,
CING,Cingulate Inc. - Common Stock,Other,,
CIRC,"Circle8 Group, Inc. - Common Stock",Other,,
CLAR,Clarus Corporation - Common Stock,Other,,
CLBK,"Columbia Financial, Inc. - Common Stock",Other,,
CLFD,"Clearfield, Inc. - Common Stock",Other,,
CLNN,Clene Inc. - Common Stock,Other,,
CLPT,ClearPoint Neuro Inc. - Common Stock,Other,,
CLYM,"Climb Bio, Inc. - Common Stock",Other,,
CMCO,Columbus McKinnon Corporation - Common Stock,Other,,
CMPX,"Compass Therapeutics, Inc. - Common Stock",Other,,
CMRC,"Commerce.com, Inc. - Series 1 Common Stock",Other,,
CMTL,Comtech Telecommunications Corp. - Common Stock,Other,,
CNCK,Coincheck Group N.V. - Ordinary Shares,Other,,
CNDT,Conduent Incorporated - Common Stock,Other,,
CNOB,"ConnectOne Bancorp, Inc. - Common Stock",Other,,
CNTB,Connect Biopharma Holdings Limited - Ordinary Shares,Other,,
CNTN,"Canton Strategic Holdings, Inc. - Common Stock",Other,,
CNTX,Context Therapeutics Inc. - Common Stock,Other,,
CNVS,Cineverse Corp. - Class A Common Stock,Other,,
CNXC,Concentrix Corporation - Common Stock,Other,,
COCH,"Envoy Medical, Inc. - Class A Common Stock",Other,,
COLL,"Collegium Pharmaceutical, Inc. - Common Stock",Other,,
COYA,"Coya Therapeutics, Inc. - Common Stock",Other,,
CPSH,CPS Technologies Corp. - Common Stock,Other,,
CRBU,"Caribou Biosciences, Inc. - Common Stock",Other,,
CRCT,"Cricut, Inc. - Class A common stock",Other,,
CRDF,"Cardiff Oncology, Inc. - Common Stock",Other,,
CRDL,Cardiol Therapeutics Inc. - Class A Common Shares,Other,,
CRMD,CorMedix Inc. - Common Stock,Other,,
CRML,Critical Metals Corp. - Ordinary Shares,Other,,
CRNC,Cerence Inc. - Common Stock,Other,,
CRON,Cronos Group Inc. - Common Share,Other,,
CRSR,"Corsair Gaming, Inc. - Common Stock",Other,,
CRVS,"Corvus Pharmaceuticals, Inc. - Common Stock",Other,,
CSHR,CoinShares PLC - Ordinary Shares,Other,,
CSIQ,Canadian Solar Inc. - Common Shares,Other,,
CSTL,"Castle Biosciences, Inc. - Common stock",Other,,
CSWC,Capital Southwest Corporation - Common Stock,Other,,
CTKB,"Cytek Biosciences, Inc. - Common Stock",Other,,
CTMX,"CytomX Therapeutics, Inc. - Common Stock",Other,,
CTNM,"Contineum Therapeutics, Inc. - Common stock",Other,,
CUB,Lionheart Holdings - Class A Ordinary Shares,Other,,
CUE,"Cue Biopharma, Inc. - Common Stock",Other,,
CURI,CuriosityStream Inc.  - Class A Common Stock,Other,,
