ticker,name,description,target_entry,target_exit
NXPI,NXP Semiconductors NV,5G,100.0,
NYSE:AXP,American Express Co,Payments,80.0,
BODI,The Beachbody Company (BODi),SPAC Health and fitness,,
NYSE:HL,Hecla Mining Co,Silver mining,,
NYSE:PATH,UiPath Inc,Automation,12.0,
NYSE:TEVA,Teva Pharmaceutical,Pharma,10.0,15.0
NYSE:VALE,Vale SA,Mining,,
NYSE:WPM,Wheaton Precious Metals Corp,Precious metals,,
OC,Owens Corning,Marine,,
OCDO,Ocado Group PLC,UK online grocery,,2500.0
OCGN,Ocugen Inc,Pharma eye disease,1.4,
OGEN,Oragenics Inc,Covid Play,,
OGI,Organigram Global Inc,Cannabis,,
OKE,ONEOK Inc,Pipeline,,
OKLO,Oklo Inc,Nuclear,50.0,
OKTA,Okta Inc,Remote Access ID,70.0,250.0
ONEW,OneWater Marine Inc,Marine,,
ONTX,Onconova Therapeutics,Oncology therapeutics,0.3,
OPEN,Opendoor Technologies,Real estate,,
OPK,OPKO Health Inc,Pharma,,
OPTT,Ocean Power Technologies,Wave energy,,
ORCL,Oracle Corp,Enterprise software,,
ORGO,Organogenesis Holdings,Regenerative medicine,,
ORLY,O'Reilly Automotive,Auto parts,,
ORSTED.CO,Orsted A/S,Renewable Energy,300.0,600.0
OTLK,Outlook Therapeutics,Pharma oncology,,
OTLY,Oatly Group AB ADR,Plant-based,,
OUST,Ouster Inc,Driverless tech lidar,3.5,10.0
OWLT,Owlet Inc,Baby remote monitor,5.0,12.0
PAAS,Pan American Silver Corp,Silver mining,,
PAF,Pan African Resources plc,Mining,,
PANW,Palo Alto Networks Inc,Cyber security,,
PAVM,PAVmed Inc,Med devices,,
PBW,Invesco WilderHill Clean Energy ETF,Clean Energy ETF,,
PCTY,Paylocity Holding,SaaS,100.0,
PDD,PDD Holdings Inc ADR,Chinese e-commerce,,
PDSB,PDS Biotechnology Corp,Pharma,,
PEGA,Pegasystems Inc,Digital transformation,,
PENN,PENN Entertainment Inc,Gaming,,
PHE,Powerhouse Energy Group PLC,AFC competitor,,
PHM,PulteGroup,Homebuilder,80.0,
PHSP.L,WisdomTree Physical Silver,ETF Phys Silver,,
PHUN,Phunware Inc,Tech,,
PINS,Pinterest Inc,Social media,25.0,
PKG,Packaging Corp Of America,Corrugated Packaging,,
PKI,PerkinElmer Inc,Crispr HZD,,
ELVR,Elevra Lithium,Tesla lithium battery,,
PLTR,Palantir Technologies Inc,Big Data,15.0,
PLTXF,JIVA Technologies Inc,Plant-based,,
PLUG,Plug Power Inc,EV battery,3.96,
PMTU,PMTU,Telehealth,,
POLA,Polar Power Inc,Solar and EV charging,,
PPBT,Purple Biotech,Non-steroid drugs,,
PRD,Predator Oil & Gas Holdings,Oil,,
PRIM,Primerica Inc,Insurance,,
PROF,Profound Medical Corp,Knifeless Surgery,,
PRPO,Precipio Inc,Diagnostics,4.0,20.0
PSN,Parsons Corp,Defence,,
PSNL,Personalis Inc,Cancer genomics,10.0,
PLUR,Pluri Inc,ARDS Covid play,4.0,
PTC,PTC Inc,Industrial software,,
PTCT,PTC Therapeutics Inc,Pharma,,
PTN,Palatin Technologies Inc,Pharma,,
PTON,Peloton Interactive Inc,Fitness,5.0,
PTY,PIMCO Corporate&Income Opportunity Fund,Fixed income,,
PRPL,Purple Innovation,Mattresses,50.0,
PW,Power REIT,Cannabis REIT,,
PYPL,PayPal Holdings,Payments,100.0,250.0
QCOM,Qualcomm Inc,Semis,50.0,
QDEL,Quidel Corp,Diagnostics manufacturer,,
QTUM,Defiance Quantum ETF,Quantum ETF,,
QUBT,Quantum Computing Inc,Quantum,5.0,
RBRK,Rubrik Inc,Cybersecurity,20.0,
RBTX.L,iShares Automation & Robotics,US TECH Automation,,
REEMF,Rare Element Resources,Rare earths,,
REI,Ring Energy,Oil,1.5,
RGLD,Royal Gold Inc,Gold royalties,,
RIOT,Riot Platforms Inc,Crypto mining,2.0,
RENDER-USD,Render,Crypto,10.0,
ROKU,Roku Inc,Streaming/Digital media,70.0,
RPD,Rapid7 Inc,Cybersecurity,,
RTO,Rentokil Initial PLC,Pest control,,550.0
RUSHB,Rush Enterprises Class B,Trucks,,
RVLV,Revolve Group Inc,Fashion tech,20.0,50.0
RVP,Retractable Technologies Inc,Manufacture safety needle,,
RVSN,Rail Vision Ltd,Rail tech,1.0,
LFWD,Lifeward Ltd,Med robotics,0.5,
RWT,Redwood Trust Inc,Mortgage REIT,,
RZLV,Rezolve Ai PLC,Ai,1.0,
SAFE,Safehold Inc,Storage,,
SAM,Boston Beer Company,Alcoholic Water,,
SBAC,SBA Communications Corp,Cell towers REIT,,
SBET,SharpLink Gaming,Sports betting,15.0,
SCCO,Southern Copper Corp,Copper,100.0,
SDF,Steadfast Group Ltd,Australian insurance,,
SE,Sea Ltd,SE Asia tech,,
SENS,Senseonics Holdings,Med devices,,
SHIP,Seanergy Maritime Holdings,Marine,0.5,
SHOP,Shopify Inc,E-commerce platform,100.0,
SGLY,Singularity Future Technology,NFTs,7.0,
SKLZ,Skillz Inc,Mobile gaming,,
SKT,Tanger Factory Outlet Centers,Retail REIT,,
SLS,Sellas Life Sciences Group,Pharma,,
SMR,NuScale Power,Nuclear,20.0,
SMT.L,Scottish Mortgage Investment Trust,Trust,650.0,
SNAP,Snap Inc,Social media,10.0,20.0
SNDL,Sundial Growers,Cannabis,,
SNES,SenesTech Inc,Pest control,,
SNPW,Sun Pacific Holding,,,
SNSR,Global X Internet of Things ETF,IoT ETF,,
SOCL,Global X Social Media ETF,Social media ETF,20.0,
SOL-USD,Solana,Crypto,100.0,
SOS,SOS Limited,,,
SOUN,SoundHound AI Inc,Voice AI,30.0,
SPIP,State Street SPDR Portfolio TIPS ETF,Inflation bonds,,
SPOT,Spotify Technology SA,Music streaming,200.0,500.0
SQ,Block (Square),Cashapp,70.0,
SRP,Serica Energy,Immigration centres,,
SRPT,Sarepta Therapeutics Inc,Pharma,,
SST,System1 Inc,Marketing,2.87,
STRA,Strategic Education Inc,Ed tech,90.0,130.0
SURG,SurgePays Inc,Payments,,
0019.HK,Swire Pacific Ord Shs A,Conglomerate,10.0,
SWX:ABBN,ABB Ltd,Industrial,14.0,
SYK,Stryker Corp,Med tech,,
T,AT&T Inc,Telecom,15.0,
TAKOF,Volatus Aerospace,Drones,,
TALK,Talkspace Inc,Telemed SPAC,2.0,4.0
TBIO,Telesis Bio Inc,Synthetic biology,,
TBLA,Taboola.com Ltd,AdTech,3.0,
TCEHY,Tencent Holdings ADR,Chinese tech,,
TCOM,Trip.com Group Ltd,Travel,,
TCX,Tucows Inc,Domains,,
